Date,Open,High,Low,Close,Adj Close,Volume
1980-03-18,3.125000,3.125000,2.937500,3.031250,3.031250,727200
1980-03-20,3.041667,3.062500,3.010417,3.010417,3.010417,159600
1980-03-24,2.916667,2.916667,2.635417,2.666667,2.666667,436800
1980-03-26,2.604167,2.604167,2.427083,2.447917,2.447917,466800
1980-03-28,2.458333,2.583333,2.458333,2.541667,2.541667,666000
1980-04-01,2.583333,2.770833,2.583333,2.739583,2.739583,492000
1980-04-03,2.625000,2.635417,2.604167,2.635417,2.635417,226800
1980-04-08,2.541667,2.625000,2.500000,2.593750,2.593750,765600
1980-04-10,2.666667,2.739583,2.656250,2.739583,2.739583,174000
1980-04-14,2.635417,2.645833,2.500000,2.562500,2.562500,267600
1980-04-16,2.562500,2.572917,2.343750,2.354167,2.354167,358800
1980-04-18,2.427083,2.468750,2.312500,2.322917,2.322917,342000
1980-04-22,2.375000,2.604167,2.375000,2.562500,2.562500,880800
1980-04-24,2.614583,2.812500,2.614583,2.781250,2.781250,733200
1980-04-28,2.718750,2.791667,2.718750,2.729167,2.729167,372000
1980-04-30,2.625000,2.625000,2.541667,2.552083,2.552083,273600
1980-05-02,2.458333,2.468750,2.416667,2.468750,2.468750,282000
1980-05-06,2.604167,2.729167,2.583333,2.687500,2.687500,386400
1980-05-08,2.687500,2.687500,2.604167,2.604167,2.604167,225600
1980-05-12,2.541667,2.614583,2.520833,2.614583,2.614583,180000
1980-05-14,2.697917,2.781250,2.697917,2.770833,2.770833,345600
1980-05-16,2.729167,2.739583,2.645833,2.666667,2.666667,135600
1980-05-20,2.687500,2.750000,2.677083,2.750000,2.750000,453600
1980-05-22,2.812500,2.916667,2.812500,2.916667,2.916667,499200
1980-05-27,3.000000,3.062500,3.000000,3.010417,3.010417,247200
1980-05-29,3.145833,3.208333,3.072917,3.083333,3.083333,618000
1980-06-02,3.166667,3.166667,3.104167,3.104167,3.104167,208800
1980-06-04,3.020833,3.072917,3.000000,3.072917,3.072917,218400
1980-06-06,3.020833,3.062500,2.968750,3.000000,3.000000,428400
1980-06-10,2.864583,2.968750,2.864583,2.968750,2.968750,464400
1980-06-12,3.052083,3.104167,3.020833,3.093750,3.093750,404400
1980-06-16,3.093750,3.093750,3.031250,3.031250,3.031250,242400
1980-06-18,3.052083,3.052083,3.000000,3.020833,3.020833,606000
1980-06-20,2.937500,2.937500,2.927083,2.927083,2.927083,99600
1980-06-24,2.937500,2.937500,2.906250,2.937500,2.937500,102000
1980-06-26,3.072917,3.125000,3.020833,3.020833,3.020833,246000
1980-06-30,3.041667,3.072917,3.010417,3.041667,3.041667,205200
1980-07-02,3.093750,3.177083,3.093750,3.177083,3.177083,181200
1980-07-07,3.447917,3.510417,3.447917,3.458333,3.458333,355200
1980-07-09,3.406250,3.500000,3.406250,3.437500,3.437500,394800
1980-07-11,3.500000,3.635417,3.500000,3.614583,3.614583,433200
1980-07-15,3.729167,3.822917,3.708333,3.708333,3.708333,583200
1980-07-17,3.614583,3.656250,3.614583,3.645833,3.645833,255600
1980-07-21,3.614583,3.656250,3.489583,3.572917,3.572917,378000
1980-07-23,3.572917,3.583333,3.552083,3.562500,3.562500,398400
1980-07-25,3.583333,3.583333,3.500000,3.510417,3.510417,260400
1980-07-29,3.520833,3.739583,3.500000,3.739583,3.739583,1060800
1980-07-31,4.031250,4.156250,4.020833,4.135417,4.135417,528000
1980-08-04,4.260417,4.333333,4.218750,4.312500,4.312500,290400
1980-08-06,4.333333,4.333333,4.218750,4.239583,4.239583,351600
1980-08-08,4.260417,4.333333,4.260417,4.270833,4.270833,471600
1980-08-12,4.416667,4.500000,4.333333,4.354167,4.354167,445200
